,RendVendable,PtotDose,P,Sample
5503,26.80427857,0.0,0.0,412
5504,31.48852143,33.0,14.388,412
5505,37.92935536,66.0,28.776,412
5506,35.39205714,100.0,43.6,412
5507,36.82335357,133.0,57.988,412
5508,36.17276429,133.0,57.988,412
5509,39.42571071,166.0,72.376,412
5510,36.30288214,200.0,87.2,412
5511,34.74146786,100.0,43.6,412
5512,29.92710714,0.0,0.0,412
5513,30.96805,33.0,14.388,412
5514,32.72464107,66.0,28.776,412
5515,35.91252857,100.0,43.6,412
5516,35.58723393,133.0,57.988,412
5517,36.23782321,133.0,57.988,412
5518,36.49805893,166.0,72.376,412
5519,39.36065179,200.0,87.2,412
5520,36.62817679,100.0,43.6,412
5521,28.75604643,0.0,0.0,412
5522,28.6909875,33.0,14.388,412
5523,36.8884125,66.0,28.776,412
5524,36.433,100.0,43.6,412
5525,45.28101429,133.0,57.988,412
5526,34.87158571,133.0,57.988,412
5527,36.36794107,166.0,72.376,412
5528,40.14135893,200.0,87.2,412
5529,36.69323571,100.0,43.6,412
